employer,notice_date,number_of_employees_affected,warn_type,city,zip,lwib_area,address,record_number,detail_page_url
Christopher & Banks,"Jan 29, 2021",6,Non-WARN,,,3 - Central Western Local Area 3,,365,https://joblink.maine.gov/search/warn_lookups/365
Christopher & Banks,"Jan 29, 2021",5,Non-WARN,,,3 - Central Western Local Area 3,,366,https://joblink.maine.gov/search/warn_lookups/366
Rebecca's Place,"Jan 29, 2021",2,Non-WARN,,,3 - Central Western Local Area 3,,367,https://joblink.maine.gov/search/warn_lookups/367
Christopher & Banks,"Jan 29, 2021",5,Non-WARN,,,4 - Coastal Counties Local Area 4,,368,https://joblink.maine.gov/search/warn_lookups/368
LL Bean,"Feb 01, 2021",7,Non-WARN,,,4 - Coastal Counties Local Area 4,,369,https://joblink.maine.gov/search/warn_lookups/369
TD Bank,"Feb 12, 2021",64,Non-WARN,,,3 - Central Western Local Area 3,,370,https://joblink.maine.gov/search/warn_lookups/370
Beverley's Hallmark,"Feb 17, 2021",7,Non-WARN,Waterville,04901,3 - Central Western Local Area 3,"100 Elm Plaza; Waterville, Maine 04901",371,https://joblink.maine.gov/search/warn_lookups/371
McDnalds,"Mar 02, 2021",30,Non-WARN,Calais,04619,1 - Northeastern Workforce Board,"191 North Street; Calais, Maine 04619",372,https://joblink.maine.gov/search/warn_lookups/372
Burrelles Luce,"Mar 05, 2021",5,Non-WARN,Presque Isle,04769,1 - Northeastern Workforce Board,"21 North Street Ste. B; Presque Isle, Maine 04769",373,https://joblink.maine.gov/search/warn_lookups/373
LL Bean,"Mar 19, 2021",3,Non-WARN,Freeport,04032,4 - Coastal Counties Local Area 4,"LL Bean, Casco Street; Freeport, Maine 04032",374,https://joblink.maine.gov/search/warn_lookups/374
East Coast Seafood Group,"Mar 18, 2021",30,Non-WARN,New Bedford,04270,1 - Northeastern Workforce Board,"10 North Front Street; New Bedford, Massachusetts 04270",375,https://joblink.maine.gov/search/warn_lookups/375
ProKnee,"Feb 27, 2021",10,Non-WARN,Whitefield,04353,4 - Coastal Counties Local Area 4,"137 Devine Road; Whitefield, Maine 04353",376,https://joblink.maine.gov/search/warn_lookups/376
Bath Brewing Company,"Jan 03, 2021",10,Non-WARN,Bath,04530,4 - Coastal Counties Local Area 4,"141 Front Street; Bath, Maine 04530",377,https://joblink.maine.gov/search/warn_lookups/377
Rosie's Lovell Village Store,"Mar 26, 2021",2,Non-WARN,Lovell,04051,3 - Central Western Local Area 3,"234 Maine Street; Lovell, Maine 04051",378,https://joblink.maine.gov/search/warn_lookups/378
Backyard Farms,"Apr 13, 2021",50,Non-WARN,Madison,04950,3 - Central Western Local Area 3,"131 River Road; Madison, Maine 04950",379,https://joblink.maine.gov/search/warn_lookups/379
Day One,"Apr 23, 2021",6,Non-WARN,South Portland,04106,3 - Central Western Local Area 3,"525 Main Street; South Portland, Maine 04106",380,https://joblink.maine.gov/search/warn_lookups/380
Dollar Tree,"Apr 23, 2021",11,Non-WARN,Machias,04654,1 - Northeastern Workforce Board,"160 Dublin Street; Machias, Maine 04654",381,https://joblink.maine.gov/search/warn_lookups/381
General Electric,"Apr 28, 2021",70,Non-WARN,Bangor,04401,1 - Northeastern Workforce Board,"534 Griffin Road; Bangor, Maine 04401",382,https://joblink.maine.gov/search/warn_lookups/382
Abbott Laboratories,"Jul 07, 2021",310,WARN,Westbrook,04092,4 - Coastal Counties Local Area 4,"5 Bradley Rd; Westbrook, Maine 04092",383,https://joblink.maine.gov/search/warn_lookups/383
Curry Printing,"Jul 09, 2021",4,Non-WARN,Auburn,04210,3 - Central Western Local Area 3,"31 Mill Street; Auburn, Maine 04210",384,https://joblink.maine.gov/search/warn_lookups/384
Direct Community Care,"Aug 27, 2021",12,Non-WARN,Augusta,04330,3 - Central Western Local Area 3,"9 Green Street; Augusta, Maine 04330",385,https://joblink.maine.gov/search/warn_lookups/385
Country Manor,"Aug 30, 2021",50,Non-WARN,Coopers Mills,04341,4 - Coastal Counties Local Area 4,"132 Main Street; Coopers Mills, Maine 04341",386,https://joblink.maine.gov/search/warn_lookups/386
Somerset Rehabilitation,"Sep 02, 2021",60,Non-WARN,Bingham,04920,3 - Central Western Local Area 3,"43 Owens Street; Bingham, Maine 04920",388,https://joblink.maine.gov/search/warn_lookups/388
B&M Beans,"Aug 30, 2021",86,WARN,Portland,04103,4 - Coastal Counties Local Area 4,"1 Beanpot Circle; Portland, Maine 04103",389,https://joblink.maine.gov/search/warn_lookups/389
Big Al's of Maine,"Sep 16, 2021",13,Non-WARN,Wiscasset,04578,4 - Coastal Counties Local Area 4,"US Rt. 1; Wiscasset, Maine 04578",390,https://joblink.maine.gov/search/warn_lookups/390
The Bucket Company,"Sep 17, 2021",16,Non-WARN,Lewiston,04241,3 - Central Western Local Area 3,"21 Fire Slate Place; Lewiston, Maine 04241",391,https://joblink.maine.gov/search/warn_lookups/391
Island Nursing Home,"Aug 31, 2021",65,Non-WARN,Deer Isle,04627,1 - Northeastern Workforce Board,"587 N Deer Isle Road; Deer Isle, Maine 04627",387,https://joblink.maine.gov/search/warn_lookups/387
Shaw House,"Sep 20, 2021",14,Non-WARN,Biddeford,04005,4 - Coastal Counties Local Area 4,"257 South Street; Biddeford, Maine 04005",392,https://joblink.maine.gov/search/warn_lookups/392
Ben's Trading Post,"Sep 30, 2021",4,Non-WARN,Presque Isle,04769,1 - Northeastern Workforce Board,"719 Main Street; Presque Isle, Maine 04769",393,https://joblink.maine.gov/search/warn_lookups/393
Easter Seals Maine,"Oct 22, 2021",8,Non-WARN,South Portland,04106,4 - Coastal Counties Local Area 4,"14 Atlantic Place; South Portland, Maine 04106",394,https://joblink.maine.gov/search/warn_lookups/394
Dollar Tree,"Nov 10, 2021",8,Non-WARN,Madawaska,04756,1 - Northeastern Workforce Board,"81 Fox Street; Madawaska, Maine 04756",395,https://joblink.maine.gov/search/warn_lookups/395
Delvina,"Apr 30, 2021",3,Non-WARN,Belfast,04915,4 - Coastal Counties Local Area 4,"52 Main St.; Belfast, Maine 04915",396,https://joblink.maine.gov/search/warn_lookups/396
Aunt Gin's,"May 01, 2021",5,Non-WARN,Whitefield,04353,4 - Coastal Counties Local Area 4,"48 Augusta Road; Whitefield, Maine 04353",397,https://joblink.maine.gov/search/warn_lookups/397
Little Giant,"Sep 05, 2021",26,Non-WARN,Portland,04102,4 - Coastal Counties Local Area 4,"211 Danforth Street; Portland, Maine 04102",398,https://joblink.maine.gov/search/warn_lookups/398
Hawthorne Inn,"Dec 03, 2021",4,Non-WARN,Camden,04843,4 - Coastal Counties Local Area 4,"9 High Street; Camden, Maine 04843",399,https://joblink.maine.gov/search/warn_lookups/399
Penobscot Community Health Care,"Dec 01, 2021",30,Non-WARN,Bangor,04401,1 - Northeastern Workforce Board,"103 Maine Ave; Bangor, Maine 04401",400,https://joblink.maine.gov/search/warn_lookups/400
EVO Merchant Services,"Jan 07, 2020",139,WARN,,,4 - Coastal Counties Local Area 4,,250,https://joblink.maine.gov/search/warn_lookups/250
Famous Dave's Bar-B-Cue,"Jan 03, 2020",75,Non-WARN,,,4 - Coastal Counties Local Area 4,,251,https://joblink.maine.gov/search/warn_lookups/251
Game Stop,"Jan 03, 2020",5,Non-WARN,,,4 - Coastal Counties Local Area 4,,252,https://joblink.maine.gov/search/warn_lookups/252
Bass Factory Outlet,"Jan 03, 2020",4,Non-WARN,,,4 - Coastal Counties Local Area 4,,253,https://joblink.maine.gov/search/warn_lookups/253
Bass Shoe Outlet,"Jan 03, 2020",10,Non-WARN,,,4 - Coastal Counties Local Area 4,,254,https://joblink.maine.gov/search/warn_lookups/254
Joyce's,"Jan 02, 2020",13,Non-WARN,,,3 - Central Western Local Area 3,,255,https://joblink.maine.gov/search/warn_lookups/255
Home Care for Maine,"Jan 30, 2020",366,WARN,,,3 - Central Western Local Area 3,,256,https://joblink.maine.gov/search/warn_lookups/256
Aroostook Milling,"Feb 04, 2020",2,Non-WARN,Presque Isle,04769,1 - Northeastern Workforce Board,"191 Parsons Road; Presque Isle, Maine 04769",257,https://joblink.maine.gov/search/warn_lookups/257
Burger King,"Feb 01, 2020",70,Non-WARN,Presques Isle,04769,1 - Northeastern Workforce Board,"795 Main St; Presques Isle, Maine 04769",258,https://joblink.maine.gov/search/warn_lookups/258
Bolsters Mills General Store,"Jan 31, 2020",7,Non-WARN,,,3 - Central Western Local Area 3,,259,https://joblink.maine.gov/search/warn_lookups/259
Sleepers,"Jan 13, 2020",3,Non-WARN,,,3 - Central Western Local Area 3,,261,https://joblink.maine.gov/search/warn_lookups/261
Days Milk Transport/Countryside Restaurant,"Jan 02, 2020",37,Non-WARN,,,1 - Northeastern Workforce Board,,262,https://joblink.maine.gov/search/warn_lookups/262
"Huhtamaki, Inc","Mar 20, 2020",102,WARN,,,3 - Central Western Local Area 3,,282,https://joblink.maine.gov/search/warn_lookups/282
Kay Jewelers,"Jan 07, 2020",7,Non-WARN,,,1 - Northeastern Workforce Board,,263,https://joblink.maine.gov/search/warn_lookups/263
Pier 1,"Jan 27, 2020",15,Non-WARN,,,3 - Central Western Local Area 3,,264,https://joblink.maine.gov/search/warn_lookups/264
Ship City Taxi,"Feb 14, 2020",8,Non-WARN,,,4 - Coastal Counties Local Area 4,,268,https://joblink.maine.gov/search/warn_lookups/268
Wayfair,"Feb 13, 2020",55,Non-WARN,,,4 - Coastal Counties Local Area 4,,269,https://joblink.maine.gov/search/warn_lookups/269
Irving Forest Products,"Jan 16, 2020",6,Non-WARN,,,3 - Central Western Local Area 3,,270,https://joblink.maine.gov/search/warn_lookups/270
Salley's Auto Repair,"Feb 11, 2020",3,Non-WARN,,,1 - Northeastern Workforce Board,,271,https://joblink.maine.gov/search/warn_lookups/271
Wendy's,"Jan 30, 2020",30,Non-WARN,,,3 - Central Western Local Area 3,,272,https://joblink.maine.gov/search/warn_lookups/272
Office Max,"Feb 21, 2020",20,Non-WARN,,,3 - Central Western Local Area 3,,273,https://joblink.maine.gov/search/warn_lookups/273
Party City,"Feb 19, 2020",12,Non-WARN,,,3 - Central Western Local Area 3,,274,https://joblink.maine.gov/search/warn_lookups/274
"FormTek, In","Feb 27, 2020",7,Non-WARN,,,3 - Central Western Local Area 3,,275,https://joblink.maine.gov/search/warn_lookups/275
The BedWorks of Maine,"Feb 28, 2020",10,Non-WARN,,,1 - Northeastern Workforce Board,,276,https://joblink.maine.gov/search/warn_lookups/276
"L.L. Bean, Inc.","Feb 05, 2020",200,Non-WARN,,,4 - Coastal Counties Local Area 4,,277,https://joblink.maine.gov/search/warn_lookups/277
DiElectric LLC,"Feb 13, 2020",40,Non-WARN,,,4 - Coastal Counties Local Area 4,,278,https://joblink.maine.gov/search/warn_lookups/278
Whittemore & Sons Tractor & Power Equipment,"Mar 17, 2020",3,Non-WARN,,,3 - Central Western Local Area 3,,279,https://joblink.maine.gov/search/warn_lookups/279
American Legion Post 14,"Mar 17, 2020",4,Non-WARN,,,3 - Central Western Local Area 3,,280,https://joblink.maine.gov/search/warn_lookups/280
HMS Host,"Mar 21, 2020",60,WARN,,,4 - Coastal Counties Local Area 4,,281,https://joblink.maine.gov/search/warn_lookups/281
Gissing,"Mar 25, 2020",84,WARN,,,3 - Central Western Local Area 3,,283,https://joblink.maine.gov/search/warn_lookups/283
JS McCarthy Printers,"Mar 26, 2020",61,WARN,,,3 - Central Western Local Area 3,,284,https://joblink.maine.gov/search/warn_lookups/284
Sweetser,"Apr 10, 2020",10,WARN,,,4 - Coastal Counties Local Area 4,,285,https://joblink.maine.gov/search/warn_lookups/285
Prime Motor Group,"Apr 18, 2020",78,Non-WARN,,,4 - Coastal Counties Local Area 4,,286,https://joblink.maine.gov/search/warn_lookups/286
Prime Motor Group,"Apr 18, 2020",101,Non-WARN,,,4 - Coastal Counties Local Area 4,,287,https://joblink.maine.gov/search/warn_lookups/287
18 Below,"Mar 21, 2020",6,Non-WARN,,,3 - Central Western Local Area 3,,288,https://joblink.maine.gov/search/warn_lookups/288
CIEE,"Mar 27, 2020",256,WARN,,,4 - Coastal Counties Local Area 4,,289,https://joblink.maine.gov/search/warn_lookups/289
Eat'n Park Hospitality Group Inc,"Apr 17, 2020",148,WARN,Biddeford,04005,4 - Coastal Counties Local Area 4,"11 Hills Beach Rd; Biddeford, Maine 04005",290,https://joblink.maine.gov/search/warn_lookups/290
"Bed, Bath & Beyond","Apr 17, 2020",71,WARN,Scarborough,04074,4 - Coastal Counties Local Area 4,"490 Payne Road; Scarborough, Maine 04074",291,https://joblink.maine.gov/search/warn_lookups/291
"Bed, Bath & Beyond","Apr 17, 2020",46,WARN,Augusta,04330,3 - Central Western Local Area 3,"42 Whitten Road; Augusta, Maine 04330",292,https://joblink.maine.gov/search/warn_lookups/292
"Bed, Bath & Beyond","Apr 17, 2020",56,WARN,Bangor,04401,1 - Northeastern Workforce Board,"46 Spring Drive; Bangor, Maine 04401",293,https://joblink.maine.gov/search/warn_lookups/293
"HH Brown Shoe Co., Inc.","Apr 01, 2020",10,WARN,Dexter,04930,1 - Northeastern Workforce Board,"71 Railroad Avenue; Dexter, Maine 04930",294,https://joblink.maine.gov/search/warn_lookups/294
Whitecraft Scarborough Tempe,"Apr 30, 2020",125,WARN,,,4 - Coastal Counties Local Area 4,,295,https://joblink.maine.gov/search/warn_lookups/295
Tasman,"May 04, 2020",115,WARN,,,3 - Central Western Local Area 3,,296,https://joblink.maine.gov/search/warn_lookups/296
Enterprise Holding Group,"Apr 20, 2020",63,WARN,Westbrook,04092,4 - Coastal Counties Local Area 4,"140 Larrabee Road; Westbrook, Maine 04092",297,https://joblink.maine.gov/search/warn_lookups/297
Chadwick-BaRoss,"May 04, 2020",16,WARN,,,4 - Coastal Counties Local Area 4,,298,https://joblink.maine.gov/search/warn_lookups/298
HH Brown Retail Store/Super Shoes,"Apr 24, 2020",10,WARN,South Portland,04106,4 - Coastal Counties Local Area 4,"364 Maine Mall Road; South Portland, Maine 04106",299,https://joblink.maine.gov/search/warn_lookups/299
HH Brown Retail Store/Super Shoes,"Apr 24, 2020",11,WARN,Auburn,04210,3 - Central Western Local Area 3,"550 Center Street; Auburn, Maine 04210",300,https://joblink.maine.gov/search/warn_lookups/300
HH Brown Retail Store/Super Shoes,"Apr 24, 2020",8,WARN,Bangor,04401,1 - Northeastern Workforce Board,"930 Stillwater Avenue; Bangor, Maine 04401",301,https://joblink.maine.gov/search/warn_lookups/301
HH Brown Retail Store/Super Shoes,"Apr 24, 2020",5,WARN,Ellsworth,04605,1 - Northeastern Workforce Board,"446 High Street; Ellsworth, Maine 04605",302,https://joblink.maine.gov/search/warn_lookups/302
HH Brown Retail Store/Super Shoes,"Apr 24, 2020",5,WARN,Rockport,04856,1 - Northeastern Workforce Board,"1070 Commercial Street; Rockport, Maine 04856",303,https://joblink.maine.gov/search/warn_lookups/303
HH Brown Retail Store/Super Shoes,"Apr 24, 2020",4,WARN,,,1 - Northeastern Workforce Board,,304,https://joblink.maine.gov/search/warn_lookups/304
HH Brown Retail Store/Super Shoes,"Apr 24, 2020",11,WARN,Waterville,04901,1 - Northeastern Workforce Board,"1 Washington Street; Waterville, Maine 04901",305,https://joblink.maine.gov/search/warn_lookups/305
Eric's Restaurant,"May 14, 2020",11,Non-WARN,,,3 - Central Western Local Area 3,,306,https://joblink.maine.gov/search/warn_lookups/306
Westin Portland Harborview,"May 18, 2020",97,Non-WARN,,,4 - Coastal Counties Local Area 4,,307,https://joblink.maine.gov/search/warn_lookups/307
Pedro O'Hara's - Brunswick,"May 29, 2020",5,Non-WARN,,,4 - Coastal Counties Local Area 4,,308,https://joblink.maine.gov/search/warn_lookups/308
Mid State Machine Products,"Jun 10, 2020",24,Non-WARN,,,3 - Central Western Local Area 3,,309,https://joblink.maine.gov/search/warn_lookups/309
Joseph's Fireside Steakhouse,"Jun 09, 2020",50,Non-WARN,,,3 - Central Western Local Area 3,,310,https://joblink.maine.gov/search/warn_lookups/310
Sweetser,"Apr 01, 2020",22,WARN,,,4 - Coastal Counties Local Area 4,,311,https://joblink.maine.gov/search/warn_lookups/311
"Whitcraft Scarborough Tempe, LLC","Apr 30, 2020",125,Non-WARN,,,4 - Coastal Counties Local Area 4,,312,https://joblink.maine.gov/search/warn_lookups/312
White Barn Inn,"Mar 31, 2020",43,WARN,,,4 - Coastal Counties Local Area 4,,313,https://joblink.maine.gov/search/warn_lookups/313
Hollywood Casino Hotel & Raceway,"Jun 15, 2020",121,WARN,,,1 - Northeastern Workforce Board,,314,https://joblink.maine.gov/search/warn_lookups/314
Pratt & Whitney,"Jun 01, 2020",100,WARN,,,4 - Coastal Counties Local Area 4,,315,https://joblink.maine.gov/search/warn_lookups/315
"Huhtamaki, Inc.","Mar 24, 2020",102,Non-WARN,,,3 - Central Western Local Area 3,,316,https://joblink.maine.gov/search/warn_lookups/316
HMS Host,"Mar 20, 2020",240,WARN,,,4 - Coastal Counties Local Area 4,,317,https://joblink.maine.gov/search/warn_lookups/317
Starc Systems Inc,"Jun 22, 2020",32,Non-WARN,,,4 - Coastal Counties Local Area 4,,318,https://joblink.maine.gov/search/warn_lookups/318
Nicky's Cruisin Diner,"Jun 23, 2020",24,Non-WARN,,,1 - Northeastern Workforce Board,,319,https://joblink.maine.gov/search/warn_lookups/319
Dempsey Center for Quality Cancer,"Jul 01, 2020",5,Non-WARN,South Portland,04106,4 - Coastal Counties Local Area 4,"778 Maine Street; South Portland, Maine 04106",320,https://joblink.maine.gov/search/warn_lookups/320
"NRF Distributors, Inc.","Jul 08, 2020",17,Non-WARN,,,3 - Central Western Local Area 3,,321,https://joblink.maine.gov/search/warn_lookups/321
SAPPI,"Jul 13, 2020",75,Non-WARN,,,4 - Coastal Counties Local Area 4,,322,https://joblink.maine.gov/search/warn_lookups/322
Pixelle Specialty Solutions,"Jul 14, 2020",59,WARN,,,3 - Central Western Local Area 3,,323,https://joblink.maine.gov/search/warn_lookups/323
Coca-Cola/Odwalla,"Jul 14, 2020",7,Non-WARN,,,4 - Coastal Counties Local Area 4,,324,https://joblink.maine.gov/search/warn_lookups/324
US Citizenship & Immigration Service / USCIS,"Jul 16, 2020",10,Non-WARN,,,4 - Coastal Counties Local Area 4,,325,https://joblink.maine.gov/search/warn_lookups/325
Sears - Brunswick,"Feb 10, 2020",15,Non-WARN,,,4 - Coastal Counties Local Area 4,,327,https://joblink.maine.gov/search/warn_lookups/327
Foshay-Carlton Cards & Gifts,"Jul 24, 2020",2,Non-WARN,,,3 - Central Western Local Area 3,,328,https://joblink.maine.gov/search/warn_lookups/328
PTM Inc / Pat's Pizza,"Jul 27, 2020",6,Non-WARN,,,3 - Central Western Local Area 3,,329,https://joblink.maine.gov/search/warn_lookups/329
Lane Bryant,"Aug 03, 2020",14,Non-WARN,,,3 - Central Western Local Area 3,,330,https://joblink.maine.gov/search/warn_lookups/330
Burrelle's Information Service LLC,"Jul 06, 2020",16,Non-WARN,,,1 - Northeastern Workforce Board,,331,https://joblink.maine.gov/search/warn_lookups/331
New Fab Inc/North East Welding & Fabrications Inc,"Aug 05, 2020",6,Non-WARN,,,3 - Central Western Local Area 3,,332,https://joblink.maine.gov/search/warn_lookups/332
General Nutrition Center Inc / GNC,"Aug 01, 2020",1,Non-WARN,,,4 - Coastal Counties Local Area 4,,333,https://joblink.maine.gov/search/warn_lookups/333
Unity College,"Aug 04, 2020",33,Non-WARN,,,4 - Coastal Counties Local Area 4,,334,https://joblink.maine.gov/search/warn_lookups/334
HMS Host,"Aug 17, 2020",64,WARN,,,4 - Coastal Counties Local Area 4,,335,https://joblink.maine.gov/search/warn_lookups/335
Jones and Vining,"Aug 24, 2020",30,Non-WARN,,,3 - Central Western Local Area 3,,336,https://joblink.maine.gov/search/warn_lookups/336
Sears - Maine Mall,"Sep 01, 2020",60,Non-WARN,,,4 - Coastal Counties Local Area 4,,337,https://joblink.maine.gov/search/warn_lookups/337
Lincoln County Publishing Co.,"Sep 03, 2020",1,Non-WARN,,,4 - Coastal Counties Local Area 4,,338,https://joblink.maine.gov/search/warn_lookups/338
Heidi Smith/Crissy's Breafast & Coffee Bar,"Sep 04, 2020",4,Non-WARN,,,4 - Coastal Counties Local Area 4,,339,https://joblink.maine.gov/search/warn_lookups/339
"Accessories Shop, The","Sep 10, 2020",4,Non-WARN,,,4 - Coastal Counties Local Area 4,,340,https://joblink.maine.gov/search/warn_lookups/340
"Jonathan Frost, LLC/Jonathan Frost Gallery","Sep 10, 2020",1,Non-WARN,,,4 - Coastal Counties Local Area 4,,341,https://joblink.maine.gov/search/warn_lookups/341
Seagull Gift Shop & Restaurant,"Sep 10, 2020",25,Non-WARN,,,4 - Coastal Counties Local Area 4,,342,https://joblink.maine.gov/search/warn_lookups/342
"Lowe Hardware/William M Lowe, Inc.","Sep 15, 2020",5,Non-WARN,,,4 - Coastal Counties Local Area 4,,343,https://joblink.maine.gov/search/warn_lookups/343
Penobscot Bay Regional Chamber of Commerce,"Sep 15, 2020",5,Non-WARN,,,4 - Coastal Counties Local Area 4,,344,https://joblink.maine.gov/search/warn_lookups/344
UNUM,"Sep 21, 2020",30,Non-WARN,,,4 - Coastal Counties Local Area 4,,345,https://joblink.maine.gov/search/warn_lookups/345
City of Portland,"Sep 22, 2020",35,Non-WARN,,,4 - Coastal Counties Local Area 4,,346,https://joblink.maine.gov/search/warn_lookups/346
Pixelle,"Sep 28, 2020",51,WARN,,,3 - Central Western Local Area 3,,347,https://joblink.maine.gov/search/warn_lookups/347
Reno's Family Restaurant,"Sep 14, 2020",26,Non-WARN,,,1 - Northeastern Workforce Board,,348,https://joblink.maine.gov/search/warn_lookups/348
Schwan's,"Sep 23, 2020",8,Non-WARN,,,1 - Northeastern Workforce Board,,349,https://joblink.maine.gov/search/warn_lookups/349
Hollywood Casino Hotel & Raceway,"Oct 15, 2020",21,Non-WARN,,,1 - Northeastern Workforce Board,,350,https://joblink.maine.gov/search/warn_lookups/350
Cook's Corner Self Storage Inc,"Oct 13, 2020",3,Non-WARN,,,4 - Coastal Counties Local Area 4,,351,https://joblink.maine.gov/search/warn_lookups/351
Tea & Tarts,"Oct 22, 2020",5,Non-WARN,,,1 - Northeastern Workforce Board,,352,https://joblink.maine.gov/search/warn_lookups/352
Pixelle Specialty Solutions/VERSO Holdings LLC,"Oct 28, 2020",67,Non-WARN,,,3 - Central Western Local Area 3,,353,https://joblink.maine.gov/search/warn_lookups/353
Nine Dragons Paper Rumford Division,"Oct 28, 2020",150,Non-WARN,,,3 - Central Western Local Area 3,,354,https://joblink.maine.gov/search/warn_lookups/354
Pixelle Specialty Solutions,"Oct 30, 2020",67,WARN,,,3 - Central Western Local Area 3,,355,https://joblink.maine.gov/search/warn_lookups/355
Burger King,"Dec 28, 2020",16,Non-WARN,,,1 - Northeastern Workforce Board,,357,https://joblink.maine.gov/search/warn_lookups/357
Stanley Black and Decker,"Sep 18, 2020",105,WARN,,,4 - Coastal Counties Local Area 4,,359,https://joblink.maine.gov/search/warn_lookups/359
General Electric,"Nov 10, 2020",70,Non-WARN,,,1 - Northeastern Workforce Board,,360,https://joblink.maine.gov/search/warn_lookups/360
Burger King,"Dec 27, 2020",16,Non-WARN,,,1 - Northeastern Workforce Board,,363,https://joblink.maine.gov/search/warn_lookups/363
Conform Gissing International,"Sep 20, 2019",38,WARN,,,3 - Central Western Local Area 3,,232,https://joblink.maine.gov/search/warn_lookups/232
KMart,"Nov 08, 2019",80,Non-WARN,,,3 - Central Western Local Area 3,,172,https://joblink.maine.gov/search/warn_lookups/172
E-Waste,"Jan 09, 2019",6,Non-WARN,,,3 - Central Western Local Area 3,,177,https://joblink.maine.gov/search/warn_lookups/177
Key Bank,"Jan 24, 2019",15,Non-WARN,,,3 - Central Western Local Area 3,,178,https://joblink.maine.gov/search/warn_lookups/178
Taco Bell,"Jan 17, 2019",5,Non-WARN,,,3 - Central Western Local Area 3,,179,https://joblink.maine.gov/search/warn_lookups/179
Barclays Card,"Jan 08, 2019",227,WARN,,,3 - Central Western Local Area 3,,180,https://joblink.maine.gov/search/warn_lookups/180
Office Max,"Apr 02, 2019",33,Non-WARN,,,4 - Coastal Counties Local Area 4,,181,https://joblink.maine.gov/search/warn_lookups/181
Sonogee Rehab Center,"Feb 25, 2019",50,Non-WARN,,,1 - Northeastern Workforce Board,,183,https://joblink.maine.gov/search/warn_lookups/183
Consolidated Communications,"Apr 12, 2019",0,Non-WARN,,,3 - Central Western Local Area 3,,184,https://joblink.maine.gov/search/warn_lookups/184
Tim Hortons,"Mar 16, 2019",22,Non-WARN,,,1 - Northeastern Workforce Board,,185,https://joblink.maine.gov/search/warn_lookups/185
Southern Kennebec Child Development,"Apr 03, 2019",15,Non-WARN,,,3 - Central Western Local Area 3,,186,https://joblink.maine.gov/search/warn_lookups/186
AthenaHealth,"Apr 16, 2019",20,Non-WARN,,,4 - Coastal Counties Local Area 4,,187,https://joblink.maine.gov/search/warn_lookups/187
Propesct Hill Golf Course,"Apr 25, 2019",1,Non-WARN,,,3 - Central Western Local Area 3,,188,https://joblink.maine.gov/search/warn_lookups/188
