Notice Date,Organization Name,Number toEmployees Affected,Effective Layoff Date,Code Type
"June 4, 2020",The Mayflower Hotel,426,"March 20, 2020",1
"June 2, 2020",St. Regis,2020,"March 7, 2020",1
"June 1, 2020",Westin Georgetown,96,"March 16, 2020",1
"May 21, 2020",Embassy Suites Chevy Chase,60,"March 16, 2020",1
"May 6, 2020",Medical Facility Associates,136,"July 5, 2020",1
"May 2 and 5, 2020","Barcelona Restaurants, LLC",151,"March 26, 2020",1
"April 23, 2020",Visionworks,18,"April 4, 2020",1
"April 6, 2020",MomoFuku,67,"April 6, 2020",1
"April 3, 2020",Trump Interational Hotel,237,"April 3, 2020",1
"March 30, 2020",Thunder Grill,41,"March 16, 2020",1
"March 30, 2020",Sequoia,128,"March 16, 2020",1
"March 27, 2020",Le Diplomate,244,"March 16, 2020",1
"March 23, 2020",Boquiera,152,"March 20,2020",2
"March 26, 2020",Embassy Row,67,"March 26, 2020",1
"March 20, 2020",Four Seasons Hotel,413,"March 23, 2020",1
"March 20, 2020",Mynd Salon and Spa,82,"March 19, 2020",2
"March, 20, 2020",St. Anselm,96,"March 23, 2020",2
"March 19, 2020",Gregorys Coffee Management LLC,30,"March 19, 2020",1
"March 18, 2020",Carmines DC LLC,152,"March 16, 2020",1
"March 14, 2020",Sydell Hotel LLC,58,"March 16, 2020",1
"March 20, 2019",Hooters,55,"May 19, 2019",2
"July 10, 2019",Co-Star Group,96,"September 27, 2019",1
"July 26, 2019",Dean & DeLuca,53,"July 26, 2019",2
"July 26, 2019",OMNISEC,167,"September 30, 2019",1
"July 31, 2019",GDIT,62,"September 30, 2019",1
"August 30, 2019","Centerra Group, LLC",72,"September 30, 2019",1
"September 17, 2019",GDIT,64,"November 18, 2019",1
"October 25, 2019","Freedom Forum, INC",88,"December 31, 2019",1
"October 22, 2019",Capitol Hill Hotel,160,"January 3, 2020",1
"31, 2019",Wolfgang Puck Catering and Newseum,60,"December 31, 2019",2
"March 2, 2018","Centerra Group, LLC",243,"March 31, 2018",1
"June 8, 2018","PESystems, INC.",89,"August 10, 2018",1
"August 9, 2018","Warner Media, LLC",14,"November 9, 2018",1
"October 12, 2018",Providence Hospital,898,"December 14, 2018",2
"August 17, 2017",Providence Hospital,268,"October 16, 2017",1
"July 28, 2017",First Potomac Realty Trust,24,"October 1, 2017",1
"July 7, 2017",Black Entertainment Television,55,"September 5, 2017",2
"February 23, 2017",Groupon Inc.,95,"April 24, 2017",1
"February 2, 2017",Gap Solution,85,"February 11, 2017",1
11/29/16,Core Civic Association,243,1/31/17,1
9/15/16,GAP Solutions,85,9/28/16,1
8/23/16,Double Tree Hotel,67,10/24/16,Renovations
6/1/16,BAE Systems,56,7/29/16,2
4/29/16,BAE Systems,13,6/30/16,2
6/20/16,Cessation of Restaurant Associates of National Gallery,71,9/30/16,2
6/17/16,AECOM,52,8/2/16,2
4/26/16,Sodexo,30,7/31/16,2
4/12/16,AECOM,120,6/14/16,1
3/16/16,Living Social,88,5/16/16,1
1/16/16,"AL Jazeera, LLC",67,4/30/16,2
8/14/15,Holiday Inn- Georgetown,72,11/20/15,2
6/7/15,Restaurant Associates at the US House of Representatives,All,8/7/15,2
4/13/15,Centerra Group,66,4/30/15,2
1/28/15,General Dynamics Information Technology,96,5/31/15,2
"March 19, 2013","The Washington Newspaper Publishing Company, LLC (dba The Washington Examiner)",20,"June 15, 2013",1
"May 9, 2013",Howard Road Academy,50,"June 23,2013",1
"June 13, 2013","Chimes, Inc.",50,"June 30, 2013",1
August 2013,AARP,73,"December 31, 2013",1
October 2013,Davidson Hotels and Resorts/L’Enfant Plaza,200,"December 3, 2013",2
"May 7,14 & 31, 2012",Dewey & Le Boeuf,29,"May 31, 2012 June 15, 2012",2
"June 4, 2012",IAP World Services,99,"June 18, 2012",1
"June 4, 2012",IAP World Services,185,"June 29, 2012 & August 3, 2012",1
"July 13, 2012",Interstate Hotels and Resorts,114,"September 13, 2012",1
"July 24, 2012",Lockheed Martin Electronic Systems,103,"July 31, 2012",1
"August 2, 2012",G4S Government Solutions,143,"February 8, 2013",1
"September 10, 2012",Democratic National Committee,83,"November 30, 2012",1
"September 14, 2012",American Geophysical Union,61,"December 14, 2012",1
